num,name,gender,Iba,age,height,month,year,long,weight,breast,ubreast,waist,belly,hips,rLeg,lLeg,rHand,lHand,weightF,breastF,ubreastF,waistF,bellyF,hipsF,rLegF,lLegF,rHandF,lHandF
18.0,809307212,0.0,0.0,31.0,164.0,8.0,2019.0,1.0,68.0,92.0,78.0,74.0,86.0,104.0,60.0,61.0,28.0,29.0,64.9,89.0,72.0,70.0,83.0,96.0,54.0,57.0,27.0,28.0
18.0,809307212,0.0,0.0,31.0,164.0,9.0,2019.0,1.0,64.7,91.0,73.0,72.0,85.5,101.0,55.5,56.0,27.5,27.5,62.6,85.0,72.0,70.0,80.0,97.0,53.0,53.5,26.0,26.5
19.0,-1668827417,0.0,0.0,36.0,170.0,8.0,2019.0,1.0,120.0,125.0,110.0,112.0,135.0,137.0,75.0,77.0,41.0,41.0,116.0,125.0,110.0,110.0,128.0,127.0,66.0,70.0,40.0,40.0
20.0,-631958645,0.0,0.0,34.0,162.0,2.0,2020.0,1.0,76.3,102.0,90.0,87.0,102.0,110.0,67.0,67.0,36.0,37.0,70.2,96.0,85.0,83.0,97.0,97.0,65.0,65.0,35.0,35.0
21.0,-140501860,0.0,0.0,29.0,173.0,8.0,2018.0,1.0,99.3,122.0,,114.0,,,,,,,89.9,114.0,,109.0,,,,,,
21.0,-140501860,0.0,0.0,29.0,173.0,9.0,2019.0,1.0,90.9,116.0,93.0,100.0,116.0,,,,,,84.3,112.0,87.0,97.0,109.0,,,,,
22.0,-310108068,0.0,1.0,43.0,165.0,9.0,2018.0,1.0,62.3,96.0,,83.0,,,,,,,56.8,94.0,,78.0,,,,,,
23.0,-972189625,0.0,0.0,32.0,165.0,8.0,2018.0,1.0,63.3,100.0,,84.0,,,,,,,58.6,94.0,,76.0,,,,,,
24.0,-1347881005,0.0,0.0,26.0,157.0,8.0,2018.0,1.0,90.2,114.5,,99.0,,,,,,,84.4,109.0,,90.0,,,,,,
25.0,762798619,0.0,0.0,32.0,147.0,8.0,2018.0,1.0,52.0,88.0,,74.0,,,,,,,48.5,88.0,,67.5,,,,,,
26.0,473740748,0.0,0.0,28.0,158.0,8.0,2018.0,1.0,66.3,99.0,,93.0,,,,,,,61.5,97.0,,86.0,,,,,,
27.0,-1380213770,0.0,0.0,24.0,167.0,8.0,2018.0,1.0,71.0,94.0,,78.0,,,,,,,65.3,89.0,,70.0,,,,,,
28.0,718989141,0.0,0.0,30.0,164.0,8.0,2018.0,1.0,58.6,93.5,,77.0,,,,,,,54.1,89.0,,73.0,,,,,,
29.0,-740979226,0.0,1.0,34.0,174.0,12.0,2017.0,3.0,62.8,80.0,74.5,68.0,86.0,,,,,,56.3,77.5,72.0,66.0,82.5,,,,,
30.0,407762319,0.0,0.0,50.0,158.0,6.0,2019.0,1.0,64.2,94.0,,86.0,,,,,,,59.7,91.0,,81.0,,,,,,
31.0,-1135905615,0.0,0.0,33.0,158.0,7.0,2018.0,1.0,69.0,89.0,,73.0,,,,,,,63.2,84.0,,66.0,,,,,,
32.0,1709510252,0.0,0.0,41.0,160.0,7.0,2018.0,1.0,72.0,98.0,,92.0,,,,,,,65.9,93.0,,83.0,,,,,,
33.0,-1452971871,0.0,0.0,34.0,165.0,7.0,2018.0,1.0,82.9,102.0,,92.0,,,,,,,76.4,96.0,,80.0,,,,,,
34.0,296088189,0.0,0.0,28.0,174.0,7.0,2018.0,1.0,108.0,127.0,,115.0,,,,,,,102.0,114.0,,109.0,,,,,,
35.0,-17907707,0.0,0.0,29.0,165.0,7.0,2018.0,1.0,72.0,104.0,,88.0,,,,,,,64.5,96.0,,77.0,,,,,,
36.0,372739669,0.0,0.0,45.0,164.0,7.0,2018.0,1.0,76.0,101.0,,96.0,,,,,,,68.8,98.0,,88.0,,,,,,
37.0,526450488,0.0,0.0,30.0,156.0,7.0,2018.0,1.0,59.0,87.0,,78.0,,,,,,,54.3,83.0,,74.0,,,,,,
38.0,-719320657,0.0,0.0,41.0,171.0,7.0,2018.0,1.0,76.2,103.0,,95.0,,,,,,,70.6,98.5,,84.0,,,,,,
39.0,-432954689,0.0,0.0,38.0,164.0,7.0,2018.0,1.0,63.7,90.0,,78.0,,,,,,,55.5,84.0,,70.0,,,,,,
40.0,-2075262202,0.0,0.0,16.0,177.0,7.0,2018.0,1.0,72.0,90.0,,74.0,,,,,,,66.6,86.0,,67.0,,,,,,
41.0,98353565,0.0,0.0,24.0,164.0,7.0,2018.0,1.0,89.0,104.0,,103.0,,,,,,,82.7,100.0,,98.0,,,,,,
42.0,313437226,0.0,0.0,34.0,159.0,9.0,2018.0,1.0,76.9,110.0,,94.0,,,,,,,70.8,104.0,,87.0,,,,,,
43.0,-1870894477,0.0,0.0,44.0,,9.0,2018.0,1.0,68.0,104.0,,96.0,,,,,,,61.7,99.0,,88.0,,,,,,
44.0,-1624989577,0.0,0.0,31.0,,9.0,2018.0,1.0,75.0,107.0,,104.0,,,,,,,68.7,103.0,,96.0,,,,,,
45.0,-1842874652,0.0,0.0,34.0,,9.0,2018.0,1.0,109.0,117.0,,108.0,,,,,,,101.5,111.0,,99.0,,,,,,
46.0,842044721,0.0,0.0,33.0,,9.0,2018.0,1.0,100.3,115.0,,114.0,,,,,,,92.0,108.0,,102.0,,,,,,
47.0,-1111632536,0.0,0.0,34.0,163.0,9.0,2018.0,1.0,102.0,106.0,,94.0,,,,,,,97.3,102.0,,88.0,,,,,,
48.0,-1758636577,0.0,0.0,28.0,,9.0,2018.0,1.0,71.0,94.0,,84.0,,,,,,,66.9,90.0,,79.0,,,,,,
49.0,1511295435,0.0,0.0,28.0,176.0,3.0,2019.0,1.0,98.7,109.0,,93.0,,,,,,,90.2,103.0,,84.0,,,,,,
50.0,1719545252,0.0,0.0,45.0,165.0,3.0,2019.0,1.0,105.0,120.0,,109.0,,,,,,,97.0,110.0,,106.0,,,,,,
51.0,2039362058,1.0,0.0,34.0,172.0,3.0,2019.0,1.0,87.3,103.0,,104.0,,,,,,,80.4,95.0,,92.0,,,,,,
52.0,-1721271539,0.0,0.0,34.0,174.0,3.0,2019.0,1.0,75.6,99.0,,93.0,,,,,,,70.0,92.0,,86.0,,,,,,
53.0,-221142841,0.0,0.0,25.0,165.0,3.0,2019.0,1.0,67.1,82.0,,70.0,,,,,,,61.7,80.0,,66.0,,,,,,
54.0,1732235247,0.0,0.0,40.0,158.0,3.0,2019.0,1.0,69.0,93.5,,87.0,,,,,,,64.5,91.0,,81.0,,,,,,
55.0,-185354121,0.0,0.0,24.0,164.0,3.0,2019.0,1.0,78.8,101.0,,83.0,,,,,,,74.5,97.0,,77.0,,,,,,
56.0,-1209160382,0.0,0.0,34.0,164.0,5.0,2019.0,3.0,79.0,105.0,,89.0,,,,,,,65.0,92.0,,77.0,,,,,,
57.0,458894034,0.0,0.0,63.0,,5.0,2019.0,3.0,81.0,120.0,,104.0,,,,,,,67.5,110.0,,89.0,,,,,,
58.0,-1366264379,1.0,0.0,25.0,,2.0,2019.0,3.0,101.4,110.0,,111.0,,,,,,,83.0,102.5,,97.0,,,,,,
59.0,386194473,0.0,0.0,31.0,,4.0,2019.0,1.0,65.0,97.0,,84.0,,,,,,,58.2,89.0,,78.0,,,,,,
60.0,-443901476,0.0,0.0,32.0,171.0,6.0,2019.0,1.0,79.0,109.0,,92.0,,,,,,,73.3,103.0,,83.0,,,,,,
61.0,818925871,0.0,0.0,25.0,163.0,6.0,2019.0,1.0,67.2,90.0,,78.0,,,,,,,62.3,87.0,,72.0,,,,,,
62.0,435741964,0.0,0.0,22.0,159.0,6.0,2019.0,1.0,58.0,86.0,,76.0,,,,,,,53.1,83.0,,70.0,,,,,,
63.0,348542064,0.0,0.0,30.0,159.0,6.0,2019.0,1.0,77.5,92.0,,88.0,,,,,,,73.2,90.0,,84.0,,,,,,
64.0,-180902989,0.0,0.0,28.0,161.0,6.0,2019.0,1.0,69.5,93.0,,88.0,,,,,,,66.0,90.0,,85.0,,,,,,
65.0,-469203176,0.0,0.0,31.0,158.0,6.0,2019.0,1.0,60.0,94.0,,82.0,,,,,,,56.5,90.0,,76.0,,,,,,
66.0,-450831451,0.0,0.0,32.0,156.0,2.0,2020.0,1.0,57.8,89.0,80.0,71.0,84.0,,,,,,56.0,87.0,76.0,70.0,81.0,,,,,
68.0,-1169370428,0.0,0.0,33.0,164.0,2.0,2020.0,1.0,94.5,110.0,86.0,88.0,120.0,,,,,,87.5,106.0,84.0,81.0,111.0,,,,,
69.0,1781957642,0.0,0.0,,,2.0,2020.0,1.0,89.0,109.0,95.0,97.0,117.0,,,,,,86.7,108.0,94.0,90.0,115.0,,,,,
70.0,933459479,0.0,0.0,43.0,164.0,12.0,2017.0,3.0,98.2,110.0,100.0,108.0,120.0,,,,,,83.3,100.0,89.0,93.0,102.0,,,,,
71.0,-1556116999,0.0,0.0,31.0,170.0,12.0,2017.0,3.0,85.1,107.0,95.0,85.0,101.0,,,,,,75.0,97.0,81.0,77.0,93.0,,,,,
72.0,-166259261,0.0,0.0,27.0,166.0,12.0,2017.0,3.0,73.3,98.5,80.0,83.5,102.0,,,,,,56.3,89.0,74.0,68.0,84.0,,,,,
73.0,-1327828837,0.0,0.0,28.0,167.0,12.0,2017.0,3.0,80.5,,,,,,,,,,68.0,,,,,,,,,
74.0,1355555902,0.0,0.0,,,3.0,2018.0,2.0,64.7,,,,,,,,,,52.8,,,,,,,,,
75.0,-180902989,0.0,0.0,,,3.0,2018.0,3.0,75.7,,,,,,,,,,62.8,,,,,,,,,
76.0,868267136,0.0,0.0,,,3.0,2018.0,3.0,102.2,,,,,,,,,,87.8,,,,,,,,,
77.0,-1761079099,0.0,0.0,,,3.0,2018.0,3.0,90.0,,,,,,,,,,74.2,,,,,,,,,
78.0,1296233102,0.0,0.0,,,3.0,2018.0,2.0,85.5,,,,,,,,,,74.6,,,,,,,,,
79.0,482926275,0.0,0.0,,,3.0,2018.0,3.0,68.1,,,,,,,,,,57.6,,,,,,,,,
80.0,2007525384,0.0,0.0,29.0,167.0,3.0,2018.0,3.0,91.3,,,,,,,,,,77.4,,,,,,,,,
81.0,1187253380,0.0,0.0,,,3.0,2018.0,3.0,85.1,,,,,,,,,,74.0,,,,,,,,,
82.0,602904709,0.0,0.0,,,3.0,2018.0,2.0,72.0,,,,,,,,,,64.4,,,,,,,,,
83.0,-1033570649,0.0,0.0,27.0,163.0,3.0,2018.0,3.0,103.7,,,,,,,,,,89.4,,,,,,,,,
84.0,-1756124233,0.0,0.0,,,3.0,2018.0,3.0,87.9,,,,,,,,,,74.6,,,,,,,,,
85.0,1601402632,0.0,0.0,,,3.0,2018.0,3.0,74.0,,,,,,,,,,63.8,,,,,,,,,
86.0,-1903723378,0.0,0.0,,,3.0,2018.0,2.0,72.9,,,,,,,,,,63.9,,,,,,,,,
87.0,-865766110,0.0,0.0,,,4.0,2018.0,2.0,71.2,,,,,,,,,,62.2,,,,,,,,,
88.0,-1030612585,0.0,0.0,,,4.0,2018.0,2.0,73.9,,,,,,,,,,65.8,,,,,,,,,
89.0,-1570456028,0.0,0.0,,,4.0,2018.0,2.0,68.1,,,,,,,,,,61.1,,,,,,,,,
90.0,1722069566,0.0,0.0,,,4.0,2018.0,2.0,82.4,,,,,,,,,,74.7,,,,,,,,,
91.0,-652718413,0.0,0.0,,,4.0,2018.0,2.0,78.2,,,,,,,,,,71.0,,,,,,,,,
92.0,-465723475,0.0,0.0,,,5.0,2018.0,1.0,79.3,,,,,,,,,,73.2,,,,,,,,,
93.0,-1240836394,0.0,0.0,,,5.0,2018.0,1.0,75.6,,,,,,,,,,69.6,,,,,,,,,
94.0,-1192752637,0.0,0.0,,,5.0,2018.0,1.0,66.1,,,,,,,,,,60.3,,,,,,,,,
95.0,-723524895,0.0,0.0,,,5.0,2018.0,1.0,63.7,,,,,,,,,,58.7,,,,,,,,,
96.0,-253605409,0.0,0.0,,,5.0,2018.0,1.0,59.0,,,,,,,,,,54.6,,,,,,,,,
97.0,712437708,0.0,0.0,,,5.0,2018.0,1.0,86.5,,,,,,,,,,82.2,,,,,,,,,
98.0,-1823163457,0.0,0.0,,,6.0,2019.0,1.25,101.2,,,,,,,,,,88.7,,,,,,,,,
99.0,-612923457,0.0,0.0,,,6.0,2019.0,1.25,95.2,,,,,,,,,,85.4,,,,,,,,,
100.0,1135730673,0.0,0.0,,,6.0,2019.0,1.25,75.0,,,,,,,,,,65.2,,,,,,,,,
101.0,-1954208925,0.0,0.0,,,6.0,2019.0,1.25,59.0,,,,,,,,,,51.0,,,,,,,,,
102.0,1328930709,0.0,0.0,,,6.0,2019.0,1.25,83.0,,,,,,,,,,75.6,,,,,,,,,
103.0,-1554744455,0.0,0.0,,,6.0,2019.0,1.25,79.8,,,,,,,,,,72.5,,,,,,,,,
104.0,-965301734,0.0,0.0,,,6.0,2019.0,1.25,61.5,,,,,,,,,,56.5,,,,,,,,,
105.0,-80494428,0.0,0.0,,,6.0,2019.0,1.25,80.7,,,,,,,,,,76.1,,,,,,,,,
106.0,592481589,0.0,0.0,,,11.0,2018.0,1.0,96.9,,,,,,,,,,86.2,,,,,,,,,
107.0,-1312288499,0.0,0.0,,,11.0,2018.0,1.0,73.3,,,,,,,,,,65.4,,,,,,,,,
108.0,-1226943923,0.0,0.0,,,11.0,2018.0,1.0,96.4,,,,,,,,,,88.6,,,,,,,,,
109.0,756701838,0.0,0.0,,,11.0,2018.0,1.0,86.5,,,,,,,,,,78.9,,,,,,,,,
110.0,187883799,0.0,0.0,,,11.0,2018.0,1.0,67.0,,,,,,,,,,59.6,,,,,,,,,
111.0,-1495872898,0.0,0.0,,,11.0,2018.0,1.0,70.1,,,,,,,,,,63.6,,,,,,,,,
112.0,-4136983,0.0,0.0,,,11.0,2018.0,1.0,87.0,,,,,,,,,,82.0,,,,,,,,,
113.0,263617525,0.0,0.0,,,11.0,2018.0,1.0,64.8,,,,,,,,,,60.5,,,,,,,,,
114.0,1641580638,0.0,0.0,,,10.0,2018.0,2.0,107.6,,,,,,,,,,95.1,,,,,,,,,
115.0,1821432662,0.0,0.0,,,10.0,2018.0,1.0,65.0,,,,,,,,,,60.1,,,,,,,,,
116.0,-159262343,0.0,0.0,,,10.0,2018.0,1.0,88.0,,,,,,,,,,84.0,,,,,,,,,
117.0,-311196073,0.0,0.0,,,10.0,2018.0,1.0,74.2,,,,,,,,,,70.7,,,,,,,,,
118.0,-2063371326,0.0,0.0,32.0,165.0,10.0,2018.0,1.0,97.0,,,,,,,,,,92.6,,,,,,,,,
119.0,-1384265492,0.0,0.0,,,1.0,2019.0,3.0,91.0,,,,,,,,,,72.5,,,,,,,,,
120.0,1674772613,0.0,0.0,,,1.0,2019.0,3.0,100.5,,,,,,,,,,87.1,,,,,,,,,
121.0,183817640,0.0,0.0,62.0,156.0,1.0,2019.0,3.0,80.0,,,,,,,,,,66.7,,,,,,,,,
122.0,-1596723988,0.0,0.0,38.0,160.0,1.0,2019.0,1.0,85.0,,,,,,,,,,75.5,,,,,,,,,
123.0,-1355648204,0.0,0.0,,,1.0,2019.0,1.0,79.1,,,,,,,,,,70.9,,,,,,,,,
124.0,1075280143,0.0,0.0,,,1.0,2019.0,1.0,77.7,,,,,,,,,,70.3,,,,,,,,,
125.0,-65238962,0.0,0.0,,,1.0,2019.0,1.0,71.7,,,,,,,,,,65.1,,,,,,,,,
126.0,-633027518,0.0,0.0,,,1.0,2019.0,1.0,86.1,,,,,,,,,,79.6,,,,,,,,,
127.0,1623659433,0.0,0.0,,,1.0,2019.0,1.0,74.3,,,,,,,,,,68.2,,,,,,,,,
128.0,318783633,0.0,0.0,,,1.0,2019.0,1.0,82.5,,,,,,,,,,76.6,,,,,,,,,
129.0,962134831,0.0,0.0,,,1.0,2019.0,1.0,56.0,,,,,,,,,,50.3,,,,,,,,,
130.0,159028443,0.0,0.0,,,1.0,2019.0,1.0,72.1,,,,,,,,,,67.0,,,,,,,,,
131.0,-22909213,0.0,0.0,,,1.0,2019.0,1.0,64.4,,,,,,,,,,59.9,,,,,,,,,
132.0,-1855657223,0.0,0.0,,,1.0,2019.0,1.0,64.1,,,,,,,,,,59.6,,,,,,,,,
133.0,728817418,0.0,0.0,,,1.0,2019.0,1.0,73.0,,,,,,,,,,68.6,,,,,,,,,
134.0,-936446620,0.0,0.0,28.0,164.0,1.0,2019.0,1.0,69.3,,,,,,,,,,64.9,,,,,,,,,
31.0,-1135905615,0.0,0.0,33.0,158.0,1.0,2019.0,1.0,61.6,,,,,,,,,,57.4,,,,,,,,,
136.0,1625494128,0.0,0.0,,,1.0,2019.0,1.0,75.2,,,,,,,,,,71.1,,,,,,,,,
137.0,1925873158,0.0,0.0,,,1.0,2019.0,1.0,52.0,,,,,,,,,,48.1,,,,,,,,,
138.0,-1299215369,0.0,0.0,38.0,166.0,2.0,2019.0,1.0,68.9,,,,,,,,,,62.4,,,,,,,,,
139.0,1968421231,0.0,0.0,30.0,177.0,2.0,2019.0,1.0,90.0,,,,,,,,,,84.0,,,,,,,,,
140.0,-176463697,0.0,0.0,24.0,163.0,2.0,2019.0,1.0,72.1,,,,,,,,,,66.8,,,,,,,,,
141.0,-1006498015,0.0,0.0,29.0,160.0,2.0,2019.0,1.0,79.3,,,,,,,,,,74.2,,,,,,,,,
142.0,-1216187361,0.0,0.0,28.0,164.0,2.0,2019.0,1.0,65.5,,,,,,,,,,61.9,,,,,,,,,
143.0,-652718413,0.0,0.0,30.0,160.0,4.0,2019.0,1.0,86.7,,,,,,,,,,77.3,,,,,,,,,
144.0,-458614686,0.0,0.0,,,4.0,2019.0,1.0,84.1,,,,,,,,,,79.5,,,,,,,,,
145.0,-1379802350,0.0,0.0,29.0,176.0,4.0,2019.0,1.0,73.8,,,,,,,,,,70.0,,,,,,,,,
146.0,-666026348,0.0,0.0,,,6.0,2018.0,1.0,79.5,,,,,,,,,,71.3,,,,,,,,,
147.0,450376397,0.0,0.0,,,6.0,2018.0,1.0,78.7,,,,,,,,,,72.8,,,,,,,,,
148.0,1952208875,0.0,0.0,,,6.0,2018.0,1.0,69.0,,,,,,,,,,64.5,,,,,,,,,
149.0,-878164380,0.0,0.0,25.0,164.0,4.0,2020.0,1.0,71.8,89.0,77.0,79.0,89.0,108.0,62.0,62.0,32.0,32.0,66.9,83.0,73.0,69.0,82.0,102.0,58.0,58.0,31.0,31.0
150.0,-2144014312,0.0,0.0,37.0,167.0,4.0,2020.0,1.0,86.0,108.0,93.0,87.0,100.0,114.0,68.0,68.0,38.0,38.0,81.8,101.0,86.0,82.0,100.0,106.0,63.0,63.0,36.0,36.0
